referencia,ano_foto,descripcion,url_ficha,url_imagen_resultado
1590,1958 - 1958,"María Luisa Martínez, cantinera de la Escolta de Caballería del Alarde de Irun...",https://www.irun.org/archivo/fototeca_ficha.asp?texto=cantinera&ref=&ano=&offset=&referencia=1590,https://www.irun.org/fototeca/fcruzpe1/1590.jpg
1591,1958 - 1958,"Miren Ponte, Cantinera de la Compañía Real Unión del Alarde (1958)",https://www.irun.org/archivo/fototeca_ficha.asp?texto=cantinera&ref=&ano=&offset=&referencia=1591,https://www.irun.org/fototeca/fcruz53/1591.jpg
1592,-,Cantinera de la escolta de Caballería del Alarde de Irun. Foto Kruz,https://www.irun.org/archivo/fototeca_ficha.asp?texto=cantinera&ref=&ano=&offset=&referencia=1592,https://www.irun.org/fototeca/fcruzpe1/1592.jpg
1594,1969 - 1969,"Asunción Zapirain, cantinera de la Compañía Anaka del Alarde en 1969",https://www.irun.org/archivo/fototeca_ficha.asp?texto=cantinera&ref=&ano=&offset=&referencia=1594,https://www.irun.org/fototeca/fcruzpe1/1594.jpg
1595,1969 - 1969,"Asunción Zapirain, cantinera de la Compañía Anaka del Alarde en 1969",https://www.irun.org/archivo/fototeca_ficha.asp?texto=cantinera&ref=&ano=&offset=&referencia=1595,https://www.irun.org/fototeca/fcruzpe1/1595.jpg
1596,1969 - 1969,"Asunción Zapirain, cantinera de la Compañía Anaka del Alarde en 1969",https://www.irun.org/archivo/fototeca_ficha.asp?texto=cantinera&ref=&ano=&offset=&referencia=1596,https://www.irun.org/fototeca/fcruzpe1/1596.jpg
1597,1969 - 1969,"Asunción Zapirain, cantinera de la Compañía Anaka del Alarde en 1969",https://www.irun.org/archivo/fototeca_ficha.asp?texto=cantinera&ref=&ano=&offset=&referencia=1597,https://www.irun.org/fototeca/fcruzpe1/1597.jpg
1598,1969 - 1969,"Juncal Arzak, cantinera de la Banda de Música del Alarde de Irun en 1969",https://www.irun.org/archivo/fototeca_ficha.asp?texto=cantinera&ref=&ano=&offset=&referencia=1598,https://www.irun.org/fototeca/fcruzpe1/1598.jpg
1599,1969 - 1969,"Juncal Arzak, cantinera de la Banda de Música del Alarde de Irun en 1969",https://www.irun.org/archivo/fototeca_ficha.asp?texto=cantinera&ref=&ano=&offset=&referencia=1599,https://www.irun.org/fototeca/fcruzpe1/1599.jpg
1600,1969 - 1969,"Juncal Arzak, cantinera de la Banda de Música del Alarde de Irun en 1969",https://www.irun.org/archivo/fototeca_ficha.asp?texto=cantinera&ref=&ano=&offset=&referencia=1600,https://www.irun.org/fototeca/fcruzpe1/1600.jpg
