Publicacion,Fecha / numero,Articulo o pasaje,Temas,Uso,Localizacion / fuente,Extracto
La Prensa,1913-09-01,"trarnos el juego, protestar de su publi­ rioso. lisis. La Compañía del regimiento de San Mar­","musica, companias, ritual",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Prensa.pdf,"del corriente mes. Han esperado que muchos amigos. La petición se hace de un modo muy cu­ reciese de aquel hombre tan detenido aná­ cial. éste apareciera en la Gaceta para mos­ El jefe de los liberales, Sr. Lachica, concu­ trarnos el juego, protestar de su publi­ rioso. lisis. La Compañía del regimiento de San Mar­ rrió á la merienda con los diputados provin­ cación y tomar actitudes de víctima. El enfermo tiene que colgar de las ramas Al fin dijo el «marchand»: cial, con bandera y música, y la banda militar ciales."
La Prensa,1913-09-01,"trapos, en su mayor parte nada limpios. cio... Las fuerzas de San Marcial formaron en la",Alarde,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Prensa.pdf,"testa que han elevado al Gobierno es La fiesta ha resultado animadísima; un ver­ tantemente en un verdadero tendedero de —No; quiero que usted le ponga pre­ cabezudos y un gran gentío. enérgica y amenazadora. Bien se ve en dadero homenaje de la Alpujarra. trapos, en su mayor parte nada limpios. cio... Las fuerzas de San Marcial formaron en la ella la mano y el pensamiento de los que Natalio Rivas permanecerá en Orgiva has­ En cambio, sus ramas bajas no tienen nun­ —Pues, si le parece á usted... dos pese­ estación, y la música del regimiento tocó La se negaron á pagar la contribución go­ ta el miércoles."
La Prensa,1913-09-01,cuanto necesitaran para invadir la Pen­ —No puede darse más. Es muy viejo. tada la bandera del regim,"ritual, suspensiones/cambios",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Prensa.pdf,"—Es muy poco. cindario. En el domicilio del alcalde ha sido deposi­ La salud en Madrid cuanto necesitaran para invadir la Pen­ —No puede darse más. Es muy viejo. tada la bandera del regimiento de Infantería ínsula. cio mejor. Esto no es, como podría creer el lector, Quedó, finalmente, el cuadro vendido por de San Marcial. Sigue sin modificaciones especiales la en­ Son los de siempre, y si ahora no han Al mediodía ofrecieron las autoridades lo­ fermería de Madrid en relación con las sema­ una patente de suciedad, sino una prueba de una peseta. provocado un grave conflicto cerrando cales un banquete en el Hotel Palace á los nas anteriores."
La Prensa,1913-09-01,"Su majestad el Rey, acompañado del prín­ Sucursales del mismo y en las Agencias medad. El mariscal, ","companias, suspensiones/cambios",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Prensa.pdf,"fué aceptada por los patronos, y en vista de dico y esquelas fúnebres en las oficinas de Braganz?. ña ha sufrido un grave retroceso en su enfer­ continente. ello se acordó reanudar el trabajo mañana calle de la Palma baja, núm. 44, en las Su majestad el Rey, acompañado del prín­ Sucursales del mismo y en las Agencias medad. El mariscal, entre otras cosas, dice: cipe Don Felipe, estuvo en el Monte Ulía. lunes. Esta mañana intentó levantarse, pero tuvo «Durante varias noches del otoño de 1911 de publicidad. La Reina madre, sus augustos nietos y los Esta fórmula consiste en trabajar cincuenta Número corriente, 5 céntimos. que desistir de su prop"
La Prensa,1913-09-01,LA FIESTA DE LOS NIÑOS,"mandos, companias, ritual",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Prensa.pdf,"vio y protesta por el ultraje que los bizcaita- res que circulan y que hacen suponer que en pitán y un teniente del regimiento del Rey, y ciar que era un triunfo para los obreros. rras de Zamudio infirieron á la bandera espa­ Málaga se realiza contrabando de armas para Valladolid, 31.—El ilustre dramaturgo don el coronel, dos capitanes y un teniente del re­ Hubo, sin embargo, uno que declaró que ñola. los moros. jacinto Benavente ha contestado al alcalde de gimiento de Caballería de María Cristina. no había tal triunfo, lo que dió lugar á discu­ En trenes especiales, abarrotados de viaje­ En el artículo que inserta hoy exige el con­ Valladoli"
La Prensa,1913-09-01,COTIZACIÓN OFICIAL DÍA 30 DÍA 29,"mandos, companias",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Prensa.pdf,"mente la cuestión. COTIZACIÓN OFICIAL DÍA 30 DÍA 29 Adrados (Hijos de), Prado, 20. Aldama y Compañía, Alcalá, 23, duplicado. Antonio Pas or, Jorge Juan, 23. Bauer y Compañía, San Bernardo, 54. (TELEGRAMAS OFICIALES) la Contribución, para el año 1914, y varios fi­ jando el capital del impuesto de utilidades Horrorosa tormenta. 4 por 100 perpetuo interior. Cano y Compañía, plaza del Progreso,""íl, v q latores, 26. ’ Cuesta Colorada, 31 (á las 21,20).—Coman­ Fin corriente.................................. 80 05 00 00 Corrales Hermanos, Toledo, 30. para las Sociedades extranjeras. E. Sáinz é Hijos, Alcalá. '4 y 16. dante general á ministro: Viñedo"
La Publicidad,1913-09-01,MELILLA PELÍCULAS DEL OÍA,"mandos, musica, companias, ritual, suspensiones/cambios",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Publicidad.pdf,"Las sufragistas inglesas tros de Hacienda y de la Guerra. Turquía y Bulgaria. M ^""^ ^^^^ saldrá mañana en el sudexpreso para nador. ¿Nuevas dificultades? gó el correo Sister, el cual tuvo anoche una I Barcilona, 31.—La huelga sigue igual. CoNSTANTiNOPLA, 3i.— El representante de 1 pequeña avena en la caldera de estribor, por Un nuevo intento de agresión de las sufra- Madrid, acompañado por el ministro de Es­ tado. La desorientación continúa siendo grande. Bulgaria, Sr. Natbhevitch, ha comenzado sus ¡ cuyo motivo llegó el referido vapor con cinco I gistas contra el jefe del Gobierno inglés, mís- El trabajo se ha reanudado en algunas fábri­ ent"
La Publicidad,1913-09-01,"morar la batalla de San Marcial. París, 3i.—El automóvil que ocupaban el los oídos:",musica,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Publicidad.pdf,"sido secuestrado al regreso de Cuesta Co­ Pedro. nizadas por este Ayuntamiento para conme­ biese lorada. ticas del doctor Moebius, que me martillean morar la batalla de San Marcial. París, 3i.—El automóvil que ocupaban el los oídos: Por la mañana llegó de Bayona la música Las informaciones posteriores han confirma­ del 49 francés de línea, y de Vergara, la banda do el rumor, añadiendo que el secuestro se ministro de Negocios'extranjcros, M. Pichón, y «La naturaleza es un amo inflexible y casti­ El mejor café, el primitivo, eí municipal. verificó en la zona internacional, cuando la su señora, chocó en el camino del Bosque de ga con penas sever"
La Publicidad,1913-09-01,"Oviedo, 31.—Llegó el Sr. Altamira. Le re­ nir á toda la gente que le había acompañado á Social se ha","mandos, musica, companias",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Publicidad.pdf,"está protegiendo. ridad.» Un vapor asaltado. Granada, 31.—En el Centro de la Acción San Petersburgo, 31.—Cerca de Bc^aybkaí En esta carta Fortea confiesa que mandó ve­ José PÉREZ GUERRERO una banda de ladrones atacó en el río Don un Oviedo, 31.—Llegó el Sr. Altamira. Le re­ nir á toda la gente que le había acompañado á Social se ha reunido la Asamblea de la Fede­ cibieron los maestros de las Escuelas Normales. la ida y emprendió el viaje de retorno acom­ ración Agrícola granadina, presidida por el du­ vapor, del que robaron 78.000 rublos. Cerró las conferencias pedagógicas y prometió pañado únicamente por un criado. Al llegar á que de San Ped"
La Publicidad,1913-09-01,de Enos. quien tenía por amigo incondicional é indiscu­ Aviación. El herido por el auto del gobernad,companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Publicidad.pdf,"tín la línea fronteriza de Enos Midia hasta cerca hablar con el moro á que me referí antes y á el que ha de regirse la Escuela Nacional de titos. 31 dral al Ayuntamiento. de Enos. quien tenía por amigo incondicional é indiscu­ Aviación. El herido por el auto del gobernador ha me­ El acto resultó severísimo. Acompañaron al Balance aferrador. tible. jorado bastante, confiando ahora los médicos cadaver el clero de la catedral, las autoridades San Petersburgo, 31.—La Gaceta de San Propósitos del Raisuli.- ¿Contra Arcila? en salvarle. y público con hachas encendidas. La Policía gubernativa ha detenido á una Mañana se le dará sepultura, presidiendo"
La Publicidad,1913-09-01,"Consideramos, sin embargo que al tratar un monte, que tapizan de verde las copas de plices y que el ","mandos, ritual",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Publicidad.pdf,"queiona; te veo tal como eres, linda ciudad para admirarla desde lejos, sumergida en la resan en los armamentos. libertad. poética, muellemente acostada en la laida de masa negruzca de les grandes pinares. No haya cuidado de qyc se le olvide clavar Parece resultar que Guieu no ha tenido cóm­ Consideramos, sin embargo que al tratar un monte, que tapizan de verde las copas de plices y que el cabo, el artillero y la mujer, de este asunto no debe olvidarse el punto princi­ los árboles, y te contemplo b ’anca y perezosa, en su dominio una basta para la bandera; es los que se habló en principio, no han desem­ soñando despierta, á la luz palida y ca"
La Tribuna,1913-09-01,"se dice, aunque no pasamos á creerlo, qué . te de Marina, Srv Bustamante ; presiden­ rectamente le h",Alarde,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Tribuna.pdf,"Además, irá completo el regimiento de marchar á San Fernando (Cádiz), en don­ Mallorca, gl resto del de Guadalajara y de se encuentra su familia. Destinos. Su primera visita fué para el comandan­ ñor Santamaría, que son quienes más di­ se dice, aunque no pasamos á creerlo, qué . te de Marina, Srv Bustamante ; presiden­ rectamente le han atendido, aparte, como Infantería; Capíitanes CD. Jo(sé Mín- cíe Melilla irá á Ceuta el regimiento de te de la Cruz Hoja, Sr. Cano, y consigna­ es natural, del personal del Docker, de guez, al regimiento de Ceriñola, y doa Ceriñola. tario de vapores correos do Africa, se- quien el operado se hace lenguas. Vice"
La Tribuna,1913-09-01,ciendo á la compañía de Ingenieros za­ horas semanales Io.s obreros de genero in­ En la calle de Oló,"mandos, companias, ritual",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - La Tribuna.pdf,"Tropas á Ceuta. pues los patronos aceptaron las bases de di ático de_ la Universidad Central D. Ju­ No es solamente en la Ciudad Lineal lo.s obreros. lián Besteiro. donde se celebran luchas para disputarse , Ayer salió el vapor ((Cabañal», condu­ Son éstas trabajar cincuenta y cinco Otra Plaza de Toros. el Campeonato del mundo. ciendo á la compañía de Ingenieros za­ horas semanales Io.s obreros de genero in­ En la calle de Olózaga hubo ayer tam­ padores, que vino de Barcelona y ha sido Se ha presentado al Ayuntamiento la bién sus buenas luchas para disputarse el glés ; cincuenta y siete y media, los ele gé­ instancia y planos para construir u"
Novedades,1913-09-07,"S. M. la R.eina doña Marfa Cr istina, acompañada de la señ orita de Silva. S. M. la Reina Victoria a",companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-07 - Novedades.pdf,"S. M. la R.eina doña Marfa Cr istina, acompañada de la señ orita de Silva. S. M. la Reina Victoria al terminar su matinal paseo diri giéndose al paseando por el voladizo de la Con cha. I'OTS. TORT. balneario regio á recoger á sus augus tos hijos. DONOSTIAKO UDAL LIBURUTEGIA - BIBLIOTECA MUNICIPAL DE SAN SEBASTIAN"
Novedades,1913-09-07,"y Elet,a acompañado del maestro de cerem onia de la catedral de Vitoria , Sr. D. Pedro Anasagast i, ",companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-07 - Novedades.pdf,"Pe rspectiva del parque Alderdi-Eder d urante el desfile de las tropas por delante d el monumento. En "",1 círcul o. el ilu strí simo prelado mon señ or Cadena y Elet,a acompañado del maestro de cerem onia de la catedral de Vitoria , Sr. D. Pedro Anasagast i, bend iciendo el monument o. fOTS. TORr . DONOSTIAKO UDAL LIBURUTEGIA - BIBLIOTECA MUNICIPAL DE SAN SEBASTIAN"
Novedades,1913-09-07,to d e infantería Coronel del rt¡timiento de San Marcial.,ritual,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-07 - Novedades.pdf,"D.Manue l Rodriguez tando su valioso D. JIIarlín Medrana, primer Capilán. les del regimien- D. Vicente Sarthou, concurso. Tenienle (abanderado. to d e infantería Coronel del rt¡timiento de San Marcial. fOT5. VIDAL, TORT v RESI:-ES. DONOSTIAKO UDAL LIBURUTEGIA - BIBLIOTECA MUNICIPAL DE SAN SEBASTIAN"
Novedades,1913-09-07,DONOSTIAKO UDAL LIBURUTEGIA - BIBLIOTECA MUNICIPAL DE SAN SEBASTIAN,Alarde,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-07 - Novedades.pdf,"Momento de descubrir la lápida conmemora tiva de la bat all a de San Marcial , ante las autorid ad es francesas y español as."
Novedades,1913-09-07,"de la batalla de San Marcial, en. Irún",companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-07 - Novedades.pdf,"de la batalla de San Marcial, en. Irún ELdi a 31 d e Agosto ú·· el' de linea, autoridades ti mo ce leb - áro nse en de Bay na, !rún y Sa n Se - la v-cina villa de l' ún, bast 311 y una compañía brillan tisimas fi estas po- de nn e tro rrgimiento de pu I ares con memor ati vas San Marcial, apareciendo del ce ntena rio de la b ata- los av er ene migos co n - lla de Sa n Marcia l librada fundido s hoy.en los mas en tre Iranc e es y españo- estrechos vtnc u 1n s de"
Novedades,1913-09-07,"len tísimo Ayun tamiento d e Irún, acompañando al b izarro e ir onel d el reglmiento d e San .\la rc",companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-07 - Novedades.pdf,"1, Aspecto de la cam pa ~ mo nte dond e es t l la erm ita d e San Mucial, durante la ce le brac ió n d e la misa d e cam paña. 2. Trib una ocupada por el exce- len tísimo Ayun tamiento d e Irún, acompañando al b izarro e ir onel d el reglmiento d e San .\la rci a r. 3, El aband erado de l rezimiento de San Marcial , al descender de la ermi ta, de spués d e celebra da la mis a. 4, Una interesante ¡u'tada del partido d e loot- ba ll, cel ebrado en Ir ún, entre los equipos del Raci n g y el Sp orting. FOTS. TORT."
Novedades revista semanal ilustrada,1914-07-05,"COS, A ÉMIC05, PRETUBERCULOSOS, CONVALECIENTES, NEURASTÉNICOS GASTA-",companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1914/1914-07-05 - Novedades revista semanal ilustrada.pdf,"decaído entona y comunica energías vitales. Es la medícina ideal para recobrar la salud perdida. Depósito: Unión Farmacéutica Guipuzcoana. Bilbao: Centro f armacéutico y Barandiarán y Compañía. Vitoria: Droguería de Buesa y Farmacia de Narbona. Santander: Droguería de Pérez del Molino y Farmacia de Zamanillo. En toda. las farmacias, 3,50 ptas. frasco. Vu estros retr a tos deben ll evar un"
Novedades revista semanal ilustrada,1914-07-05,DONOSTIAKO UDAL LIBURUTEGIA - BIBLIOTECA MUNICIPAL DE SAN SEBASTIAN,cantineras,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1914/1914-07-05 - Novedades revista semanal ilustrada.pdf,"¿Quién no recuerda la hermosa y popularlsima ñes ta de San ~I a rclal que tod os los año s, en el ültí mo dla del mes do Junio, celebra alegr e y bul1lclosa la e r mita de San Marcial aeom pañados de gentes d o l r ún y otros pueblos, para asistir a la misa solemne primero, ~. á la alegre romerla de spués, y más ciudad de Irdn1 Al fondo de n uestra foto~rafla, yérguese el célebre monte, y, en su cima, la famosa e r mita cuyo nombre, rem emora una de las mlis brl - tardo al brlllantlsimo desllle, actos todos conmemorativos de una batalla gloriosa, pero cruenta, trocada hoy en Ilesta de popular ale gria. A. la derecha, lIantes hazanas de la his"
Novedades revista semanal ilustrada,1914-07-05,"regional de Artes é Industrias, acompañados d el presidente del San ::)..I';t5tián, que el dfa:?7 de",companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1914/1914-07-05 - Novedades revista semanal ilustrada.pdf,"Alumnos ríe la Granja Praísoro, saliendo de visitar la Exposici6 n GruJlO d o n iños y niñas de las escuelas (lel barrio de Amara . d e regional de Artes é Industrias, acompañados d el presidente del San ::)..I';t5tián, que el dfa:?7 de Junio ült im o visitaron la Ex poa i- Comité de la Expos icí ón, Sr. Iriondo (1), direct or Sr. Irazusta (2} ción re gi oual de Eiba r, acompañados ele sus mae stros señora Brav o y di putada provincial Sr. La ffitte (3). ~. señor ~Iartln."
Novedades revista semanal ilustrada,1914-07-05,"rtapaa arUstlcas para la encuadernación Iones de diol'edades:t . bay, 34) acompañando al envio un so",companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1914/1914-07-05 - Novedades revista semanal ilustrada.pdf,"one publicar una serie de albums grá.. otra forma que el concursante quiera, sentarse, A. má.8 tardar, para las doce ñeos descriptivos del país vasco-nava- teniendo en cuenta que habré n de ser de la noche del 31 del mes actual '1""ro, abre un concurso de bocetos de expuestos al público en uno de lo's sa- en las oficinas de «Novedades:t (Garl- rtapaa arUstlcas para la encuadernación Iones de diol'edades:t . bay, 34) acompañando al envio un so - -de dichos albums, en las siguientes con. QuJnta.-No es Indispensable que elbre cerrado que lleve el tema, que el Iclones: proyecto re base en dibujos pictóricos. concursante harA. estampar también al P"
Novedades revista semanal ilustrada,1915-07-04,MISCELANEA DE LA GUERRA ••,ritual,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1915/1915-07-04 - Novedades revista semanal ilustrada.pdf,"por lo mi mo. sólo con peligro cierto Estado actual de PolonIa h ídrico, que on tan mortíferos y que, L A TERMITA podr-ían ser apr ísionados. na d a má D pués de nueve meses, tr ~ gran- Lo al mane emplean los a l' as- encillo. En un compartímiento d I pro- ríes ejército baten en Polonia. Prze- Iíx iante para acabar con la resisten- vectil se encierran la materia' que mysl, Ja/'O law, Stryj, Lemberg, el San, CIa lit' Irunc ses é inzle: e . ~U"" efecto han de producir e~ - gases, y el calor souwalkí, o nombres que fl uran"
Novedades revista semanal ilustrada,1915-07-04,La fiesta de San Marcial en Ir ú n,Alarde,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1915/1915-07-04 - Novedades revista semanal ilustrada.pdf,"La fiesta de San Marcial en Ir ú n 1. Sol emn e momento de a lza r, durante la misa de ca m pa ña ce le bra da e n e l históri c o mont e de San Marci al . e n lr ün, e l miér col es últi mo ébn motivo de la fie sta patronal de la ci uda d. - 2. Grupo de bella s s eñ orita s irunesa s durant e la r omería á la e r mit a de San Marcial.- 5. Vista ge ne ra l del monte durante la rom ería .-Las Iie s t a s de Ir ün, han re ve stid o es te a ño gra n ani mació n y brill ant e z, aun c ua ndo e n a te nc ión á la s tr :.gicas c irc unsta nc ias porqu e a t ra vie s a Franci a, se ha desis tido de ce le bra r el c lás ico ¡. hist ór ico ' a la r de"
Novedades revista semanal ilustrada,1915-07-04,KRllZ SAN MARCIAL. 31,Alarde,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1915/1915-07-04 - Novedades revista semanal ilustrada.pdf,"AJl'II{~(]IO_ y 1WP~0I0Jr-. FOTÓGRAFO ......... _ .....). KRllZ SAN MARCIAL. 31 ~,Ia UJr ."
El Bidasoa,1916-06-11,EN ENDARLASA Capitán don Juan Ibarra.,"mandos, companias",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1916/1916-06-11 - El Bidasoa.pdf,"¡Descanse en paz! EN ENDARLASA Capitán don Juan Ibarra. Idem ayudante, don Juan Ramírez E l B i d a s o a — que semanalmente vi- Espeleta. Idem cajero, don Francisco Arrue. Idem de la primera Compañía, don JÜANITO MOLÈRES sitabaenel frenteal sargento irundarra —se asocia de corazón al dolor que embarga á los señores de Moléres, ha­"
El Bidasoa,1916-06-11,La segunda Compañía la constituyen pleto atleta muy conocido en el mundo,"mandos, companias",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1916/1916-06-11 - El Bidasoa.pdf,"tro. t'apitán, don Rafael ’ Cabrera?) Cas­ Sil lúoqi'afía El malogrado Juanito fué un com­ La segunda Compañía la constituyen pleto atleta muy conocido en el mundo tres se:ciones que residen en Pasajes, leportivo español, donde gozaba de capitaneadas por don Francisco Dasi. unánimes simpatías. l-os carabineros de irún-y Fuente- Tomó pai te como ciclislá en el C am ­ rrabía forman la tercera Compañía, peonato infantil de Irún, organizado compuesta de cinco secciones distri­ por el “Sporting Club“ el 16 de Sep­ buidas en los siguientes puestos: Cabo tiembre de 1906, alcanzando un buen premio."
El Bidasoa,1916-06-11,"don José Iriarte; terminada la ceremo­ La ronda del Capitán, la constituyen",mandos,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1916/1916-06-11 - El Bidasoa.pdf,"Como todos los años, se ha conme­ A las diez de la mañana se celebró di, Endarlasa y Pagogaña, Estación Debutó en Irún contra el San Sebas­ una misa rezada por el cura castrense del Norte y tranvía de la frontera. tián f . b. el 27 de Septiembre de 1908. morado el fusilamiento de 34 carabine­ ¡Nuestro entrañable amigo Juanito Para completar sus estudios se tras­ don José Iriarte; terminada la ceremo­ La ronda del Capitán, la constituyen ros y un oficial por el cura Santa Cruz. 16 hombres al mando de un sargento. Vlolfires ha muerto! ladó á C o l o n ia , ingresando en el La coincidencia de ser día festivo, nia, la fuerza de carabineros desfil"
El Bidasoa,1916-06-11,"púzcoa, capitán ayudante, jefes y ofi­ Cuerpo de carabineros de costas y tidos tomó parte el Sportin",mandos,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1916/1916-06-11 - El Bidasoa.pdf,"Por la tarde, visitaron el monumen­ cayó el régimen constitucional. En Pero posteriormente, como lo temía­ de Amute el 2 de Ener© de 1910; á par­ te coronel de la Comandancia de G u i­ I8‘29, el general Rodil organizó el to buen número de Comisiones de dis­ mos, los amigos de Juanito que con él tir de esta fecha jugó en cuantos par­ púzcoa, capitán ayudante, jefes y ofi­ Cuerpo de carabineros de costas y tidos tomó parte el Sporting. tintas entidades ' de la provincia, de­ fronteras, que en unión del Resguar­ compartían la valiente y arriesgada ciales, comisión del Ayuntamiento de En Julio del mismo año ingresó en positándose varias coronas. "
El Bidasoa,1916-06-11,"rá mujer á la suya, sino señora; si vo­ sido insuficiente, se impone al carabi­ soldados, un afectuo","mandos, companias, suspensiones/cambios",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1916/1916-06-11 - El Bidasoa.pdf,"Topo, salen los muchachos que vienen reparar la sangría de esta horrible gue-' ; ce el tercio de su valor; si por el con­ rabineros, desde su Director'el G e ­ El último día que con él departimos de examinarse en San Sebastián. rra. Es pulcro y redicho; jamás llama­ trario se prueba que la vigilancia ha neral Macías hasta el último de los y que recordaremos toda la vida, nos l adres, amiguitos, hermanos, espe­ rá mujer á la suya, sino señora; si vo­ sido insuficiente, se impone al carabi­ soldados, un afectuoso saludo, y en acompañó hasta el puente de la A ve­ ran ansiosos para saber el resultado mita, dirá que restituye y con sus nero del pu"
El Bidasoa,1916-06-11,tuyera á nuestro alarde?,"musica, companias",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1916/1916-06-11 - El Bidasoa.pdf,"con la presencia de la banda de Irún miércoles á las seis de la tarde? abundancia. ¿No pudieran ir sus culti­ vadores pensando en algo que susti­ el día de la inauguración del ferro­ tuyera á nuestro alarde? Porque, señores, nuestro alarde ha E LA GÜEIGA carril. Pues bien; para el día de Santiago muerto, como toda algarada belicosa"
El Bidasoa,1916-06-18,jos hacia el año 1840; vivía en Rente­ Viilacián y Compañía según escritura abominable. Huelen como ,companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1916/1916-06-18 - El Bidasoa.pdf,"tez suficientes para marcar un rumbo, Gritan ¡eh! ¡Que viene el Duende! Además, el ferrocarril del Bidasoa, Hausen, organizó los primeros traba­ que pertenecía á los señores Ortiz de ción más aborrecible, ni farsa más para inspirar una acertada maniobra, ¿|rí^í|s jos hacia el año 1840; vivía en Rente­ Viilacián y Compañía según escritura abominable. Huelen como un esterco­ para dirigir en una palabra, á los que lero. son ignorantes. Dijimos que estas per­ ría, desde donde venía á caballo, con hecha en Londres, y que como saben su señora, al despuntar el alba. Pues­ Y además tenemos la persuación de sonas son energías dispersas, sin in­ Notas "
El Bidasoa,1916-06-18,jales se renueven ó se estanquen. Vie­ van acompañadas de buenos deseos.,companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1916/1916-06-18 - El Bidasoa.pdf,"tación el mes de Septiembre de aquel No. Esas palabras no envuelven nin­ * les interesa gran cosa que los conce­ dignas siempre de atención porque año y el colono de San Narciso, don guna idea de lucha, de guerra, de hos­ jales se renueven ó se estanquen. Vie­ van acompañadas de buenos deseos. Isidro Susperregui, que sirvió todo Las minas de plomo de Mokoso- ne luego la multitud, la masa del pue­ Esos son dos grupos que constituyen tilidad. Al contrario, con ellas se quie­ este tiempo á la Compañía, quedó en­ rrotz, (San Maximiliano) denunciado blo, que. no entiende palote de estas núcleos de energías, pero que por fal­ re dar á entender—en e"
El Bidasoa,1916-06-18,bre probo que emite su voto mesura­ honradez.,"companias, ritual",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1916/1916-06-18 - El Bidasoa.pdf,"sin tapujos ante el público soberano, Habrá casos individuales: la del hom­ sas y seguiría gustosa el camino de la ca» que ya dijimos se constituyó ad­ exhibiendo orgullosos á vuestras ama­ bre probo que emite su voto mesura­ honradez. quiriendo todo lo que «La Bidasoa» y Pero los que dirigen y los dirigidos das, ó no existe tal amor, en cuyo caso damente, concienzudamente y se aleja la «Railway» poseían. Haciendo un viven aislados. ¿Por qué causa? Por debéis retiraros á fin de que no os se­"
El Bidasoa,1916-06-18,"Pero creemos que tampoco, con esto vecindades de la ermita del Jaizquibel menta porque comience el a","mandos, ritual",Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1916/1916-06-18 - El Bidasoa.pdf,"E l D u e n d e d e P l a y a -a u n d i . ha optado por llevarse dos extrapla­ las jiras á Guadalupe sigan teniendo tínez, San Emetério y Tellechea. mer empréstito de la Avenida y Puen­ ^ ^ Y ^ i|r ^ í|s í|í T|í ^ nos; á la izquierda la hora española, á el carácter que estos últimos meses — Once de Junio y once concejales te, corresponden á los números 559, la derecha la hora francesa. iban tomando. Indudablemente, las ¿qué pasará? nuestra impaciencia au­ 378, 48, 513, 478, 436, 248, 249, 250, Pero creemos que tampoco, con esto vecindades de la ermita del Jaizquibel menta porque comience el acto; sos­ 646, 668. HACE AÑOS.... queda resuelto e"
El Bidasoa,1916-06-18,Número 14.—20 de Junio. Por él resulta la otra. diversiones desposeen á aquel lugar la sesión para e,companias,Referencia localizada por barrido textual,/home/gaizka/Alarde/Revistas y periodicos/1916/1916-06-18 - El Bidasoa.pdf,"¡Ahí si será que no se atreven á dejar números l y 97. sultamos nuestro reloj: Es la una... y jolgorios; pero es el caso que tales —El señor Martínez, ruega de la Número 14.—20 de Junio. Por él resulta la otra. diversiones desposeen á aquel lugar la sesión para el martes, por ser 13! presidencia solicite de la Compañía sabemos que fueron habidos los auto­ El reloj parroquial, en vez de dar de su carácter de Santuario, de centro S. S. F. F. el arreglo de la balaustra­ COMIENZA E L ACTO res del robo perpetrado en la casa- una campanada, da lo menos diez y de peregrinación. Esto, además de da de la escalera á la estación y el re­"
