Documento,Publicacion,Fecha / numero,Caracteres extraidos,Estado de texto,Pasajes localizados
/home/gaizka/Alarde/Programas de fiestas/1994F.pdf,Programa de fiestas,1994F,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1994G.pdf,Programa de fiestas,1994G,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1994H.pdf,Programa de fiestas,1994H,10,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1995A.pdf,Programa de fiestas,1995A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1995B.pdf,Programa de fiestas,1995B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1995C.pdf,Programa de fiestas,1995C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1995D.pdf,Programa de fiestas,1995D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1995E.pdf,Programa de fiestas,1995E,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1995F.pdf,Programa de fiestas,1995F,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1995G.pdf,Programa de fiestas,1995G,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1995H.pdf,Programa de fiestas,1995H,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1995I.pdf,Programa de fiestas,1995I,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1996A.pdf,Programa de fiestas,1996A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1996B.pdf,Programa de fiestas,1996B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1996C.pdf,Programa de fiestas,1996C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1996D.pdf,Programa de fiestas,1996D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1996E.pdf,Programa de fiestas,1996E,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1996F.pdf,Programa de fiestas,1996F,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1996G.pdf,Programa de fiestas,1996G,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1996H.pdf,Programa de fiestas,1996H,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1997A.pdf,Programa de fiestas,1997A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1997B.pdf,Programa de fiestas,1997B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1997C.pdf,Programa de fiestas,1997C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1997D.pdf,Programa de fiestas,1997D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1997E.pdf,Programa de fiestas,1997E,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1997F.pdf,Programa de fiestas,1997F,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1997G.pdf,Programa de fiestas,1997G,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1997H.pdf,Programa de fiestas,1997H,5,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1880/1880-06-25 - Urumea.pdf,Urumea,1880-06-25,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1880/1880-06-27 - El Bidasoa.pdf,El Bidasoa,1880-06-27,84331,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1880/1880-06-30 - El Urumea.pdf,El Urumea,1880-06-30,21380,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1880/1880-07-03 - El Urumea.pdf,El Urumea,1880-07-03,23570,texto extraido,3
/home/gaizka/Alarde/Revistas y periodicos/1880/1880-07-04 - El Bidasoa.pdf,El Bidasoa,1880-07-04,71213,texto extraido,2
/home/gaizka/Alarde/Revistas y periodicos/1880/1880-07-16 - El Liberal.pdf,El Liberal,1880-07-16,296866,texto extraido,4
/home/gaizka/Alarde/Revistas y periodicos/1881/1881-06-10 - El Bidasoa.pdf,El Bidasoa,1881-06-10,130057,texto extraido,4
/home/gaizka/Alarde/Revistas y periodicos/1881/1881-07-03 - El Bidasoa.pdf,El Bidasoa,1881-07-03,141390,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1882/1882-06-25 - El Bidasoa.pdf,El Bidasoa,1882-06-25,61450,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1882/1882-07-02 - El Bidasoa.pdf,El Bidasoa,1882-07-02,27390,texto extraido,5
/home/gaizka/Alarde/Revistas y periodicos/1882/1882-07-09 - El Bidasoa.pdf,El Bidasoa,1882-07-09,46983,texto extraido,1
/home/gaizka/Alarde/Revistas y periodicos/1883/1883-07-01 - El Bidasoa.pdf,El Bidasoa,1883-07-01,31906,texto extraido,4
/home/gaizka/Alarde/Revistas y periodicos/1884/1884-06-29 - El Bidasoa.pdf,El Bidasoa,1884-06-29,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1884/1884-07-06 - El Bidasoa.pdf,El Bidasoa,1884-07-06,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1885/1885-06-14 - El Bidasoa.pdf,El Bidasoa,1885-06-14,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1885/1885-06-28 - El Bidasoa.pdf,El Bidasoa,1885-06-28,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1886/1886-06-27 - El Bidasoa.pdf,El Bidasoa,1886-06-27,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1886/1886-07-04 - El Bidasoa.pdf,El Bidasoa,1886-07-04,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1887/1887-06-19 - El Bidasoa.pdf,El Bidasoa,1887-06-19,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1887/1887-07-03 - El Bidasoa.pdf,El Bidasoa,1887-07-03,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1889/1889-06-30 - El Guipuzcoano.pdf,El Guipuzcoano,1889-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1889/1889-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1889-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1889/1889-07-01 - El Guipuzcoano.pdf,El Guipuzcoano,1889-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1889/1889-07-01 - La Libertad.pdf,La Libertad,1889-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1889/1889-07-01 - La Unión Liberal.pdf,La Unión Liberal,1889-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1889/1889-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1889-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1889/1889-07-02 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1889-07-02,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1889/1889-07-07 - La Patria.pdf,La Patria,1889-07-07,121265,texto extraido,6
/home/gaizka/Alarde/Revistas y periodicos/1890/1890-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1890-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1890/1890-07-01 - El Guipuzcoano.pdf,El Guipuzcoano,1890-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1890/1890-07-01 - La Libertad.pdf,La Libertad,1890-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1890/1890-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1890-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1892/1892-06-08 - El Correo Español.pdf,El Correo Español,1892-06-08,249137,texto extraido,4
/home/gaizka/Alarde/Revistas y periodicos/1892/1892-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1892-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1892/1892-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1892-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1893/1893-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1893-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1893/1893-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1893-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1894/1894-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1894-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1894/1894-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1894-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1895/1895-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1895-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1895/1895-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1895-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1896/1896-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1896-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1896/1896-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1896-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1897/1897-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1897-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1897/1897-07-02 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1897-07-02,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1898/1898-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1898-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1899/1899-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1899-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1899/1899-07-01 - El Correo de Guipúzcoa.pdf,El Correo de Guipúzcoa,1899-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1899/1899-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1899-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1900/1900-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1900-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1900/1900-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1900-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1900/1900-07-02 - El Correo de Guipúzcoa.pdf,El Correo de Guipúzcoa,1900-07-02,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1901/1901-01-01 - Euskal Herria revista bascongada.pdf,Euskal Herria revista bascongada,1901-01-01,593,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1901/1901-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1901-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1901/1901-07-01 - El correo de Guipuzcoa.pdf,El correo de Guipuzcoa,1901-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1901/1901-07-01 - La Patria.pdf,La Patria,1901-07-01,186832,texto extraido,4
/home/gaizka/Alarde/Revistas y periodicos/1901/1901-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1901-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1902/1902-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1902-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1903/1903-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1903-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1903/1903-07-01 - El correo de Guipuzcoa.pdf,El correo de Guipuzcoa,1903-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1904/1904-06-30 - El Pueblo Vasco.pdf,El Pueblo Vasco,1904-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1904/1904-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1904-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1904/1904-07-01 - El Pueblo Vasco.pdf,El Pueblo Vasco,1904-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1904/1904-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1904-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1905/1905-06-30 - El Pueblo Vasco.pdf,El Pueblo Vasco,1905-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1905/1905-07-01 - El Pueblo Vasco.pdf,El Pueblo Vasco,1905-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1905/1905-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1905-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1906/1906-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1906-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1907/1907-06-30 - El Pueblo Vasco.pdf,El Pueblo Vasco,1907-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1907/1907-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1907-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1907/1907-07-01 - El Pueblo Vasco.pdf,El Pueblo Vasco,1907-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1908/1908-06-30 - El Pueblo Vasco.pdf,El Pueblo Vasco,1908-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1908/1908-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1908-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1908/1908-07-01 - El Pueblo Vasco.pdf,El Pueblo Vasco,1908-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-04-04 - El eco de Irun - Año I nº 1.pdf,El eco de Irun - Año I nº 1,1909-04-04,99413,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-04-11 - El eco de Irun - Año I nº 2.pdf,El eco de Irun - Año I nº 2,1909-04-11,94906,texto extraido,3
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-04-18 - El eco de Irun - Año I nº 3.pdf,El eco de Irun - Año I nº 3,1909-04-18,108908,texto extraido,5
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-05-02 - El eco de Irun - Año I nº 5.pdf,El eco de Irun - Año I nº 5,1909-05-02,107883,texto extraido,3
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-05-09 - El eco de Irun - Año I nº 6.pdf,El eco de Irun - Año I nº 6,1909-05-09,104409,texto extraido,2
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-05-16 - El eco de Irun - Año I nº 7.pdf,El eco de Irun - Año I nº 7,1909-05-16,104030,texto extraido,4
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-06-13 - El eco de Irun - Año I nº 11.pdf,El eco de Irun - Año I nº 11,1909-06-13,118828,texto extraido,3
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-06-20 - El eco de Irun - Año I nº 12.pdf,El eco de Irun - Año I nº 12,1909-06-20,88631,texto extraido,3
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-06-27 - El eco de Irun - Año I nº 13.pdf,El eco de Irun - Año I nº 13,1909-06-27,80096,texto extraido,5
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-06-29 - El eco de Irun - PH IRUN 0020.pdf,El eco de Irun - PH IRUN 0020,1909-06-29,99090,texto extraido,6
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-06-30 - El Pueblo Vasco.pdf,El Pueblo Vasco,1909-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1909-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-07-11 - El eco de Irun - Año I nº 16.pdf,El eco de Irun - Año I nº 16,1909-07-11,72134,texto extraido,2
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-09-19 - El eco de Irun - Año I nº 26.pdf,El eco de Irun - Año I nº 26,1909-09-19,104332,texto extraido,5
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-09-26 - El eco de Irun - Año I nº 27.pdf,El eco de Irun - Año I nº 27,1909-09-26,91488,texto extraido,3
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-10-03 - El eco de Irun - Año I nº 28.pdf,El eco de Irun - Año I nº 28,1909-10-03,106627,texto extraido,4
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-10-10 - El eco de Irun - Año I nº 29.pdf,El eco de Irun - Año I nº 29,1909-10-10,82664,texto extraido,4
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-10-17 - El eco de Irun - Año I nº 30.pdf,El eco de Irun - Año I nº 30,1909-10-17,116233,texto extraido,4
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-10-24 - El eco de Irun - Año I nº 31.pdf,El eco de Irun - Año I nº 31,1909-10-24,99854,texto extraido,4
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-11-07 - El eco de Irun - Año I nº 33.pdf,El eco de Irun - Año I nº 33,1909-11-07,93348,texto extraido,5
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-11-14 - El eco de Irun - Año I nº 34.pdf,El eco de Irun - Año I nº 34,1909-11-14,80922,texto extraido,3
/home/gaizka/Alarde/Revistas y periodicos/1909/1909-12-12 - El eco de Irun - Año I nº 38.pdf,El eco de Irun - Año I nº 38,1909-12-12,111874,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-01-23 - El eco de Irun - Año II nº 44.pdf,El eco de Irun - Año II nº 44,1910-01-23,107462,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-01-30 - El eco de Irun - Año II nº 45.pdf,El eco de Irun - Año II nº 45,1910-01-30,109448,texto extraido,3
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-02-20 - El eco de Irun - Año II nº 48.pdf,El eco de Irun - Año II nº 48,1910-02-20,130834,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-02-27 - El eco de Irun - Año II nº 49.pdf,El eco de Irun - Año II nº 49,1910-02-27,124301,texto extraido,1
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-04-03 - El eco de Irun - Año II nº 54.pdf,El eco de Irun - Año II nº 54,1910-04-03,125696,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-04-17 - El eco de Irun - Año II nº 56.pdf,El eco de Irun - Año II nº 56,1910-04-17,93221,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-05-08 - El eco de Irun - Año II nº 59.pdf,El eco de Irun - Año II nº 59,1910-05-08,102323,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-06-29 - El buen combate semanario catolico - PH IRUN 0016.pdf,El buen combate semanario catolico - PH IRUN 0016,1910-06-29,81138,texto extraido,6
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-06-29 - El eco de Irun - Año II - Donación Rafael Escales Murguia.pdf,El eco de Irun - Año II - Donación Rafael Escales Murguia,1910-06-29,110917,texto extraido,8
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1910-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-07-01 - El Pueblo Vasco.pdf,El Pueblo Vasco,1910-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1910-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1910/1910-07-03 - Novedades revista semanal ilustrada.pdf,Novedades revista semanal ilustrada,1910-07-03,144309,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1911/1911-06-24 - El buen combate.pdf,El buen combate,1911-06-24,96869,texto extraido,6
/home/gaizka/Alarde/Revistas y periodicos/1911/1911-06-30 - El Pueblo Vasco.pdf,El Pueblo Vasco,1911-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1911/1911-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1911-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1911/1911-07-01 - El Correo de Guipúzcoa.pdf,El Correo de Guipúzcoa,1911-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1911/1911-07-01 - El Pueblo Vasco.pdf,El Pueblo Vasco,1911-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1911/1911-07-02 - El buen combate.pdf,El buen combate,1911-07-02,106884,texto extraido,5
/home/gaizka/Alarde/Revistas y periodicos/1911/1911-07-02 - Novedades revista semanal ilustrada.pdf,Novedades revista semanal ilustrada,1911-07-02,145391,texto extraido,5
/home/gaizka/Alarde/Revistas y periodicos/1912/1912-06-22 - La nueva frontera.pdf,La nueva frontera,1912-06-22,93015,texto extraido,6
/home/gaizka/Alarde/Revistas y periodicos/1912/1912-06-28 - La nueva frontera.pdf,La nueva frontera,1912-06-28,83832,texto extraido,8
/home/gaizka/Alarde/Revistas y periodicos/1912/1912-06-30 - El Correo del Norte.pdf,El Correo del Norte,1912-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1912/1912-06-30 - El Pueblo Vasco.pdf,El Pueblo Vasco,1912-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1912/1912-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1912-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1912/1912-07-01 - El Correo del Norte.pdf,El Correo del Norte,1912-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1912/1912-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1912-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1912/1912-07-06 - El buen combate.pdf,El buen combate,1912-07-06,138283,texto extraido,4
/home/gaizka/Alarde/Revistas y periodicos/1912/1912-07-06 - La nueva frontera.pdf,La nueva frontera,1912-07-06,77246,texto extraido,7
/home/gaizka/Alarde/Revistas y periodicos/1912/1912-07-07 - Novedades revista semanal ilustrada.pdf,Novedades revista semanal ilustrada,1912-07-07,136955,texto extraido,0
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-06-30 - El Correo del Norte.pdf,El Correo del Norte,1913-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-06-30 - El Pueblo Vasco.pdf,El Pueblo Vasco,1913-06-30,6,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1913-06-30,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-07-01 - El Correo del Norte.pdf,El Correo del Norte,1913-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,La Voz de Guipúzcoa - Diario Republicano,1913-07-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-07-06 - Novedades revista semanal ilustrada.pdf,Novedades revista semanal ilustrada,1913-07-06,120304,texto extraido,5
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-08-31 - El correo del norte.pdf,El correo del norte,1913-08-31,217898,texto extraido,4
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-08-31 - España Nueva.pdf,España Nueva,1913-08-31,252146,texto extraido,6
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-08-31 - La Correspondencia de Espana 290.pdf,La Correspondencia de Espana 290,1913-08-31,438780,texto extraido,5
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-08-31 - La Epoca Madrid 573.pdf,La Epoca Madrid 573,1913-08-31,283190,texto extraido,5
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-08-31 - La Tribuna.pdf,La Tribuna,1913-08-31,289764,texto extraido,2
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - ABC.pdf,ABC,1913-09-01,20,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - El Diario Español.pdf,El Diario Español,1913-09-01,210758,texto extraido,7
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - El Día de Madrid.pdf,El Día de Madrid,1913-09-01,248300,texto extraido,2
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - El Ejército Español.pdf,El Ejército Español,1913-09-01,183966,texto extraido,5
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - El buen combate.pdf,El buen combate,1913-09-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - El correo español.pdf,El correo español,1913-09-01,4,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - El imparcial.pdf,El imparcial,1913-09-01,6,sin texto suficiente,0
/home/gaizka/Alarde/Revistas y periodicos/1913/1913-09-01 - El pais.pdf,El pais,1913-09-01,4,sin texto suficiente,0
