Documento,Publicacion,Fecha / numero,Caracteres extraidos,Estado de texto,Pasajes localizados
/home/gaizka/Alarde/Programas de fiestas/1933A.pdf,Programa de fiestas,1933A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1933B.pdf,Programa de fiestas,1933B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1933C.pdf,Programa de fiestas,1933C,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1933D.pdf,Programa de fiestas,1933D,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1934A.pdf,Programa de fiestas,1934A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1934B.pdf,Programa de fiestas,1934B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1934C.pdf,Programa de fiestas,1934C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1934D.pdf,Programa de fiestas,1934D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1935A.pdf,Programa de fiestas,1935A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1935B.pdf,Programa de fiestas,1935B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1935C.pdf,Programa de fiestas,1935C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1935D.pdf,Programa de fiestas,1935D,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936A.pdf,Programa de fiestas,1936A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936B.pdf,Programa de fiestas,1936B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936C.pdf,Programa de fiestas,1936C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936COLOR-A.pdf,Programa de fiestas,1936COLOR-A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936COLOR-B.pdf,Programa de fiestas,1936COLOR-B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936COLOR-C.pdf,Programa de fiestas,1936COLOR-C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936COLOR-D.pdf,Programa de fiestas,1936COLOR-D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936COLOR-E.pdf,Programa de fiestas,1936COLOR-E,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936COLOR-F.pdf,Programa de fiestas,1936COLOR-F,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936COLOR-G.pdf,Programa de fiestas,1936COLOR-G,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936COLOR-H.pdf,Programa de fiestas,1936COLOR-H,9,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936D.pdf,Programa de fiestas,1936D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936E.pdf,Programa de fiestas,1936E,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936F.pdf,Programa de fiestas,1936F,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936G.pdf,Programa de fiestas,1936G,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1936H.pdf,Programa de fiestas,1936H,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1937.pdf,Programa de fiestas,1937,2,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1938.pdf,Programa de fiestas,1938,2,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1939.pdf,Programa de fiestas,1939,2,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1940.pdf,Programa de fiestas,1940,2,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1941.pdf,Programa de fiestas,1941,2,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1942.pdf,Programa de fiestas,1942,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1943.pdf,Programa de fiestas,1943,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1944.pdf,Programa de fiestas,1944,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1945.pdf,Programa de fiestas,1945,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1946.pdf,Programa de fiestas,1946,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1947.pdf,Programa de fiestas,1947,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1948.pdf,Programa de fiestas,1948,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1949.pdf,Programa de fiestas,1949,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1950.pdf,Programa de fiestas,1950,8,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1951(Frances).pdf,Programa de fiestas,1951(Frances),96278,texto extraido,4
/home/gaizka/Alarde/Programas de fiestas/1951.pdf,Programa de fiestas,1951,8,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1952.pdf,Programa de fiestas,1952,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1952Buenos_Aires.pdf,Programa de fiestas,1952Buenos_Aires,11,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1953.pdf,Programa de fiestas,1953,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1954.pdf,Programa de fiestas,1954,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1955.pdf,Programa de fiestas,1955,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1956.pdf,Programa de fiestas,1956,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1957.pdf,Programa de fiestas,1957,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1958.pdf,Programa de fiestas,1958,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1959.pdf,Programa de fiestas,1959,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1960.pdf,Programa de fiestas,1960,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1961.pdf,Programa de fiestas,1961,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1962.pdf,Programa de fiestas,1962,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1963.pdf,Programa de fiestas,1963,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1964.pdf,Programa de fiestas,1964,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1965.pdf,Programa de fiestas,1965,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1966.pdf,Programa de fiestas,1966,8,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1966_Buenos_Aires_1.pdf,Programa de fiestas,1966_Buenos_Aires_1,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1966_Buenos_Aires_2.pdf,Programa de fiestas,1966_Buenos_Aires_2,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1967A.pdf,Programa de fiestas,1967A,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1967B.pdf,Programa de fiestas,1967B,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1968A.pdf,Programa de fiestas,1968A,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1968B.pdf,Programa de fiestas,1968B,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1969A.pdf,Programa de fiestas,1969A,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1969B.pdf,Programa de fiestas,1969B,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1969_Buenos_Aires.pdf,Programa de fiestas,1969_Buenos_Aires,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1970A.pdf,Programa de fiestas,1970A,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1970B.pdf,Programa de fiestas,1970B,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1971A.pdf,Programa de fiestas,1971A,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1971B.pdf,Programa de fiestas,1971B,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1971Buenos_Aires.pdf,Programa de fiestas,1971Buenos_Aires,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1972A.pdf,Programa de fiestas,1972A,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1972B.pdf,Programa de fiestas,1972B,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1972Buenos_Aires_A.pdf,Programa de fiestas,1972Buenos_Aires_A,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1972Buenos_Aires_B.pdf,Programa de fiestas,1972Buenos_Aires_B,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1973A.pdf,Programa de fiestas,1973A,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1973B.pdf,Programa de fiestas,1973B,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1974A.pdf,Programa de fiestas,1974A,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1974B.pdf,Programa de fiestas,1974B,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1974Buenos_Aires_A.pdf,Programa de fiestas,1974Buenos_Aires_A,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1974Buenos_Aires_B.pdf,Programa de fiestas,1974Buenos_Aires_B,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1975A.pdf,Programa de fiestas,1975A,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1975B.pdf,Programa de fiestas,1975B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1976A.pdf,Programa de fiestas,1976A,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1976B.pdf,Programa de fiestas,1976B,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1977A.pdf,Programa de fiestas,1977A,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1977B.pdf,Programa de fiestas,1977B,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1978A.pdf,Programa de fiestas,1978A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1978B.pdf,Programa de fiestas,1978B,4,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1978C.pdf,Programa de fiestas,1978C,19,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1978D.pdf,Programa de fiestas,1978D,17,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1979A.pdf,Programa de fiestas,1979A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1979B.pdf,Programa de fiestas,1979B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1980A.pdf,Programa de fiestas,1980A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1980B.pdf,Programa de fiestas,1980B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1981A.pdf,Programa de fiestas,1981A,9,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1981B.pdf,Programa de fiestas,1981B,9,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1982A.pdf,Programa de fiestas,1982A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1982B.pdf,Programa de fiestas,1982B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1982C.pdf,Programa de fiestas,1982C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1983A.pdf,Programa de fiestas,1983A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1983B.pdf,Programa de fiestas,1983B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1983C.pdf,Programa de fiestas,1983C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1984A.pdf,Programa de fiestas,1984A,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1984B.pdf,Programa de fiestas,1984B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1984C.pdf,Programa de fiestas,1984C,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1985A.pdf,Programa de fiestas,1985A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1985B.pdf,Programa de fiestas,1985B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1985C.pdf,Programa de fiestas,1985C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1986A.pdf,Programa de fiestas,1986A,7,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1986B.pdf,Programa de fiestas,1986B,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1986C.pdf,Programa de fiestas,1986C,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1986D.pdf,Programa de fiestas,1986D,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1986E.pdf,Programa de fiestas,1986E,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1986F.pdf,Programa de fiestas,1986F,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1986G.pdf,Programa de fiestas,1986G,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1986H.pdf,Programa de fiestas,1986H,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1986I.pdf,Programa de fiestas,1986I,5,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1987A.pdf,Programa de fiestas,1987A,6,sin texto suficiente,0
/home/gaizka/Alarde/Programas de fiestas/1987B.pdf,Programa de fiestas,1987B,6,sin texto suficiente,0
